Work_ID,Work_Name,Movement_Name,Track Title
8956,"Novelletter, Op. 21","No. 2, Polichinel",
9343,My Romance,,
9718,"Violin Sonata in A Major, FWV 8 (Arr. J.-P. Rampal for Flute & Piano)",II. Allegro,
9848,"Metamorphoses, FP 121","No. 2, C'est ainsi que tu es",
9851,Variaciones sobre un tema di Chopin,"Var. 11, Lento dolce e legato",
9855,"Cello Suite No. 1 in G Major, BWV 1007",I. Prelude,
9855,"Cello Suite No. 1 in G Major, BWV 1007",I. Prélude,
9855,"Cello Suite No. 1 in G Major, BWV 1007",II. Allemande,
9855,"Cello Suite No. 1 in G Major, BWV 1007",IV. Sarabande,
9855,"Cello Suite No. 1 in G Major, BWV 1007",V. Menuets I & II,
9855,"Cello Suite No. 2 in D Minor, BWV 1008",III. Courante,
9855,"Cello Suite No. 2 in D Minor, BWV 1008",IV. Sarabande,
9856,"Cello Suite No. 3 in C Major, BWV 1009",I. Prelude,
9856,"Cello Suite No. 3 in C Major, BWV 1009",III. Courante,
9856,"Cello Suite No. 3 in C Major, BWV 1009",IV. Sarabande,
9856,"Cello Suite No. 3 in C Major, BWV 1009",V. Bourrées I & II,
9858,"Cello Suite No. 4 in E-Flat Major, BWV 1010",IV. Sarabande,
9858,"Cello Suite No. 4 in E-Flat Major, BWV 1010",V. Bourrées I & II,
9859,"Cello Suite No. 5 in C Minor, BWV 1011",III. Courante,
9859,"Cello Suite No. 6 in D Major, BWV 1012",VI. Gigue,
9859,"Cello Suite No. 6 in D Major, BWV 1012",IV. Sarabande,
9860,"La bohème, SC 67 (Excerpts Sung in German)",Oh du süßestes Mädchen,
9897,Louise,Depuis le jour ou je me suis donnée...,
9910,"6 Scwedische Polska-Lieder, Op. 50",No. 1 in D Minor,
9910,"6 Scwedische Polska-Lieder, Op. 50",No. 6 in F Major,
9921,"Samson et Dalila, Op. 47",Mon cœur s'ouvre à ta voix,
10007,"Harmonies poétiques et religieuses, S. 173",III. Bénédiction de Dieu dans la solitude,
10543,"Piano Concerto No. 2 in D Minor, Op. 23",II. Presto giocoso,
10714,Violin Concerto No. 1 in D Major,I. Allegro moderato,
10861,Violin Concerto in G Major,II. Adagio,
10876,"Flute Quartet in D Major, Op. 13",III. Romanza,
10967,Tombeau pour Monsieur de Sainte-Colombe,,
11008,"In tenebras exteriores, BVN 334","No. 4, Kom i Hu!",
